Area name,Area code,Area type,Reporting date,Daily hospital deaths,Cumulative hospital deaths
United Kingdom,K02000001,Country - UK,19/04/2020,596,16060
England,E92000001,Country,19/04/2020,482,14399
Scotland,S92000003,Country,19/04/2020,56,893
Northern Ireland,N92000002,Country,19/04/2020,17,193
Wales,W92000004,Country,19/04/2020,41,575
United Kingdom,K02000001,Country - UK,18/04/2020,888,15464
England,E92000001,Country,18/04/2020,784,13917
Scotland,S92000003,Country,18/04/2020,58,837
Northern Ireland,N92000002,Country,18/04/2020,18,176
Wales,W92000004,Country,18/04/2020,28,534
United Kingdom,K02000001,Country - UK,17/04/2020,847,14576
England,E92000001,Country,17/04/2020,738,13133
Scotland,S92000003,Country,17/04/2020,80,779
Northern Ireland,N92000002,Country,17/04/2020,18,158
Wales,W92000004,Country,17/04/2020,11,506
United Kingdom,K02000001,Country - UK,16/04/2020,861,13729
England,E92000001,Country,16/04/2020,739,12395
Scotland,S92000003,Country,16/04/2020,84,699
Northern Ireland,N92000002,Country,16/04/2020,6,140
Wales,W92000004,Country,16/04/2020,32,495
United Kingdom,K02000001,Country - UK,15/04/2020,761,12868
England,E92000001,Country,15/04/2020,651,11656
Scotland,S92000003,Country,15/04/2020,40,615
Northern Ireland,N92000002,Country,15/04/2020,10,134
Wales,W92000004,Country,15/04/2020,60,463
United Kingdom,K02000001,Country - UK,14/04/2020,778,12107
England,E92000001,Country,14/04/2020,744,11005
Scotland,S92000003,Country,14/04/2020,9,575
Northern Ireland,N92000002,Country,14/04/2020,6,124
Wales,W92000004,Country,14/04/2020,19,403
United Kingdom,K02000001,Country - UK,13/04/2020,717,11329
England,E92000001,Country,13/04/2020,667,10261
Scotland,S92000003,Country,13/04/2020,24,566
Northern Ireland,N92000002,Country,13/04/2020,11,118
Wales,W92000004,Country,13/04/2020,15,384
United Kingdom,K02000001,Country - UK,12/04/2020,737,10612
England,E92000001,Country,12/04/2020,657,9594
Scotland,S92000003,Country,12/04/2020,47,542
Northern Ireland,N92000002,Country,12/04/2020,15,107
Wales,W92000004,Country,12/04/2020,18,369
United Kingdom,K02000001,Country - UK,11/04/2020,917,9875
England,E92000001,Country,11/04/2020,823,8937
Scotland,S92000003,Country,11/04/2020,48,495
Northern Ireland,N92000002,Country,11/04/2020,10,92
Wales,W92000004,Country,11/04/2020,36,351
United Kingdom,K02000001,Country - UK,10/04/2020,980,8958
England,E92000001,Country,10/04/2020,866,8114
Scotland,S92000003,Country,10/04/2020,81,447
Northern Ireland,N92000002,Country,10/04/2020,4,82
Wales,W92000004,Country,10/04/2020,29,315
United Kingdom,K02000001,Country - UK,09/04/2020,881,7978
England,E92000001,Country,09/04/2020,765,7248
Scotland,S92000003,Country,09/04/2020,70,366
Northern Ireland,N92000002,Country,09/04/2020,5,78
Wales,W92000004,Country,09/04/2020,41,286
United Kingdom,K02000001,Country - UK,08/04/2020,938,7097
England,E92000001,Country,08/04/2020,828,6483
Scotland,S92000003,Country,08/04/2020,74,296
Northern Ireland,N92000002,Country,08/04/2020,3,73
Wales,W92000004,Country,08/04/2020,33,245
United Kingdom,K02000001,Country - UK,07/04/2020,786,6159
England,E92000001,Country,07/04/2020,758,5655
Scotland,S92000003,Country,07/04/2020,2,222
Northern Ireland,N92000002,Country,07/04/2020,7,70
Wales,W92000004,Country,07/04/2020,19,212
United Kingdom,K02000001,Country - UK,06/04/2020,439,5373
England,E92000001,Country,06/04/2020,403,4897
Scotland,S92000003,Country,06/04/2020,2,220
Northern Ireland,N92000002,Country,06/04/2020,7,63
Wales,W92000004,Country,06/04/2020,27,193
United Kingdom,K02000001,Country - UK,05/04/2020,621,4934
England,E92000001,Country,05/04/2020,555,4494
Scotland,S92000003,Country,05/04/2020,46,218
Northern Ireland,N92000002,Country,05/04/2020,8,56
Wales,W92000004,Country,05/04/2020,12,166
United Kingdom,K02000001,Country - UK,04/04/2020,708,4313
England,E92000001,Country,04/04/2020,637,3939
Scotland,S92000003,Country,04/04/2020,46,172
Northern Ireland,N92000002,Country,04/04/2020,12,48
Wales,W92000004,Country,04/04/2020,13,154
United Kingdom,K02000001,Country - UK,03/04/2020,684,3605
England,E92000001,Country,03/04/2020,604,3302
Scotland,S92000003,Country,03/04/2020,50,126
Northern Ireland,N92000002,Country,03/04/2020,6,36
Wales,W92000004,Country,03/04/2020,24,141
United Kingdom,K02000001,Country - UK,02/04/2020,569,2921
England,E92000001,Country,02/04/2020,532,2698
Scotland,S92000003,Country,02/04/2020,16,76
Northern Ireland,N92000002,Country,02/04/2020,2,30
Wales,W92000004,Country,02/04/2020,19,117
United Kingdom,K02000001,Country - UK,01/04/2020,563,2352
England,E92000001,Country,01/04/2020,515,2166
Scotland,S92000003,Country,01/04/2020,13,60
Northern Ireland,N92000002,Country,01/04/2020,6,28
Wales,W92000004,Country,01/04/2020,29,98
United Kingdom,K02000001,Country - UK,31/03/2020,381,1789
England,E92000001,Country,31/03/2020,367,1651
Scotland,S92000003,Country,31/03/2020,6,47
Northern Ireland,N92000002,Country,31/03/2020,1,22
Wales,W92000004,Country,31/03/2020,7,69
United Kingdom,K02000001,Country - UK,30/03/2020,180,1408
England,E92000001,Country,30/03/2020,159,1284
Scotland,S92000003,Country,30/03/2020,1,41
Northern Ireland,N92000002,Country,30/03/2020,6,21
Wales,W92000004,Country,30/03/2020,14,62
United Kingdom,K02000001,Country - UK,29/03/2020,209,1228
England,E92000001,Country,29/03/2020,199,1125
Scotland,S92000003,Country,29/03/2020,0,40
Northern Ireland,N92000002,Country,29/03/2020,0,15
Wales,W92000004,Country,29/03/2020,10,48
United Kingdom,K02000001,Country - UK,28/03/2020,260,1019
England,E92000001,Country,28/03/2020,247,926
Scotland,S92000003,Country,28/03/2020,7,40
Northern Ireland,N92000002,Country,28/03/2020,2,15
Wales,W92000004,Country,28/03/2020,4,38
United Kingdom,K02000001,Country - UK,27/03/2020,181,759
England,E92000001,Country,27/03/2020,,679
Scotland,S92000003,Country,27/03/2020,,33
Northern Ireland,N92000002,Country,27/03/2020,,13
Wales,W92000004,Country,27/03/2020,,34
United Kingdom,K02000001,Country - UK,26/03/2020,115,578
United Kingdom,K02000001,Country - UK,25/03/2020,41,463
United Kingdom,K02000001,Country - UK,24/03/2020,87,422
United Kingdom,K02000001,Country - UK,23/03/2020,54,335
United Kingdom,K02000001,Country - UK,22/03/2020,48,281
United Kingdom,K02000001,Country - UK,21/03/2020,56,233
United Kingdom,K02000001,Country - UK,20/03/2020,33,177
United Kingdom,K02000001,Country - UK,19/03/2020,41,144
United Kingdom,K02000001,Country - UK,18/03/2020,32,103
United Kingdom,K02000001,Country - UK,17/03/2020,16,71
United Kingdom,K02000001,Country - UK,16/03/2020,20,55
United Kingdom,K02000001,Country - UK,15/03/2020,14,35
United Kingdom,K02000001,Country - UK,14/03/2020,,21
United Kingdom,K02000001,Country - UK,13/03/2020,,8
United Kingdom,K02000001,Country - UK,12/03/2020,,8
United Kingdom,K02000001,Country - UK,11/03/2020,,6
United Kingdom,K02000001,Country - UK,10/03/2020,,6